Coverage,GMM (Mean Risk),GMM (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Mean (Mean Risk),Mean (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev)
0.01845018450184502,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.02029520295202952,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.02214022140221402,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.023985239852398525,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.025830258302583026,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.027675276752767528,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.02952029520295203,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.03136531365313653,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.033210332103321034,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.03505535055350553,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.03690036900369004,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.03874538745387454,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.04059040590405904,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.042435424354243544,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.04428044280442804,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.046125461254612546,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.04797047970479705,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.04981549815498155,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.05166051660516605,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.05350553505535055,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.055350553505535055,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.05719557195571956,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.05904059040590406,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.06088560885608856,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.06273062730627306,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.06457564575645756,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.06642066420664207,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.06826568265682657,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
0.07011070110701106,0.9999999999996048,2.671264039446129e-13,0.9999999999995424,2.821440971964089e-13,0.9999999999995219,2.8056687846609805e-13,0.9999999999997722,2.4108629897479563e-13,0.9999999999997097,2.6509524528781406e-13,0.9999999999999042,1.1385574381248987e-13,0.9999999999995085,2.885800785850202e-13,0.9999999999995184,2.905439401112688e-13,0.9999999999996335,2.6807830624264356e-13,0.9999537572253283,0.0010329853365850451,0.9999999999999261,2.128477074604121e-13,0.9999999999996826,2.6317970512246324e-13,0.999999999999827,2.300377695597202e-13,0.35950484359546786,0.0955131323573321,0.35945679870825203,0.09220816772430707,0.8522116297801349,0.18226578174854183
