,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.6253776587484088,0.5330983345172611,0.4653477362667097,0.1784257095055277,0.16919353595798817,0.9998806054254278,0.9938797198174216,0.9282421140474669,0.7132944646812853,0.3217932990234472,0.5169594584797724,0.6392793042063483,0.7095270108738133,0.8173784788837886,0.8496243244111774,0.30055713040970367,0.2468760769083709,-0.1640843711987295
above_threshold_mean_0.3,0.6253776587484088,1.0,0.9418673500799853,0.8969118895974755,0.5778216302969532,0.5602646279418987,0.6289790742070451,0.6431450964537403,0.6868128034033768,0.7342679678553556,0.7199757596117721,0.8077258788270804,0.8425802870682574,0.7943241829122106,0.7539329727012132,0.7455975529479,0.8057626011844401,0.7423546064291348,-0.5473126780952554
above_threshold_mean_0.5,0.5330983345172611,0.9418673500799853,1.0,0.9867110140910277,0.422119829732703,0.3990899108262151,0.5351637907208433,0.5431365247962856,0.5633858387934201,0.5920587199266529,0.8678511104860485,0.7129597177807415,0.8291770404520119,0.7997788477163306,0.7184766868437192,0.6956977920835129,0.8214994068208973,0.7500433149181172,-0.38053434673941616
above_threshold_mean_0.7,0.4653477362667097,0.8969118895974755,0.9867110140910277,1.0,0.42333663617148537,0.3983261824021269,0.46667290609034984,0.4719350840850558,0.48957838300118,0.541193021142921,0.9001974449217803,0.6885026385466668,0.7913522656180877,0.7565692187566666,0.6583462447872375,0.6311668858215819,0.835833504519407,0.7694090507726828,-0.37665030526906196
above_threshold_mean_0.9,0.1784257095055277,0.5778216302969532,0.422119829732703,0.42333663617148537,1.0,0.9994008225358199,0.18204137601685555,0.19946723568374294,0.2884324365418647,0.5117379705210272,0.21064508844627253,0.6914360763824712,0.3566430442819546,0.22238876704920266,0.18646196791951755,0.18596484047856604,0.6606743377714976,0.6492460542854438,-0.9975679761646435
above_threshold_mean_0.95,0.16919353595798817,0.5602646279418987,0.3990899108262151,0.3983261824021269,0.9994008225358199,1.0,0.17286830875173698,0.190613985422298,0.28008514694808556,0.5025410281920016,0.18551001563204994,0.6793784013431461,0.3386017522841402,0.2040501837735778,0.17145413079181068,0.17200282179519674,0.6450798956055134,0.6352487503982553,-0.9990887077312178
above_quantile_mean_0.3,0.9998806054254278,0.6289790742070451,0.5351637907208433,0.46667290609034984,0.18204137601685555,0.17286830875173698,1.0,0.9952738842693992,0.9322709860354688,0.718159001176316,0.321548771092356,0.5214323471982855,0.6424788450262771,0.7115406530202377,0.8191109093347935,0.8510808832641297,0.3018569496751713,0.24783140179221885,-0.16792655386906985
above_quantile_mean_0.5,0.9938797198174216,0.6431450964537403,0.5431365247962856,0.4719350840850558,0.19946723568374294,0.190613985422298,0.9952738842693992,1.0,0.9578294104820535,0.7496861609511095,0.31856876683097934,0.5471433202210139,0.6629508519061327,0.7238466056677386,0.8248921389954686,0.8538052565345584,0.30725575404901223,0.251580988692936,-0.18653607914453443
above_quantile_mean_0.7,0.9282421140474669,0.6868128034033768,0.5633858387934201,0.48957838300118,0.2884324365418647,0.28008514694808556,0.9322709860354688,0.9578294104820535,1.0,0.8663522051458097,0.3149455097449294,0.6445615138824515,0.7155386121719722,0.7328989921451587,0.8049837468029813,0.8266591753408282,0.33784424495967685,0.2810300659748378,-0.2772414446581371
above_quantile_mean_0.9,0.7132944646812853,0.7342679678553556,0.5920587199266529,0.541193021142921,0.5117379705210272,0.5025410281920016,0.718159001176316,0.7496861609511095,0.8663522051458097,1.0,0.3182617996370938,0.7637703918848118,0.7240968752126736,0.6683032509389654,0.6786927046749357,0.6911155181114954,0.4448512459254602,0.3909495571014929,-0.4956816291293012
above_quantile_mean_fg_ratio,0.3217932990234472,0.7199757596117721,0.8678511104860485,0.9001974449217803,0.21064508844627253,0.18551001563204994,0.321548771092356,0.31856876683097934,0.3149455097449294,0.3182617996370938,1.0,0.46961370648169526,0.6074935245671279,0.5980373309995177,0.5187991832894003,0.48216096797493657,0.7676924324579576,0.7380378588141878,-0.16279455478882318
patch_aggregation_10,0.5169594584797724,0.8077258788270804,0.7129597177807415,0.6885026385466668,0.6914360763824712,0.6793784013431461,0.5214323471982855,0.5471433202210139,0.6445615138824515,0.7637703918848118,0.46961370648169526,1.0,0.7839729338327746,0.6608495553323548,0.5796059696743457,0.5724567547139328,0.6329007510936323,0.5785118731682009,-0.6692685269155212
patch_aggregation_20,0.6392793042063483,0.8425802870682574,0.8291770404520119,0.7913522656180877,0.3566430442819546,0.3386017522841402,0.6424788450262771,0.6629508519061327,0.7155386121719722,0.7240968752126736,0.6074935245671279,0.7839729338327746,1.0,0.8994912199632805,0.7928920664981188,0.772654825747627,0.5638277660837764,0.4837210614548417,-0.3278969004667539
patch_aggregation_40,0.7095270108738133,0.7943241829122106,0.7997788477163306,0.7565692187566666,0.22238876704920266,0.2040501837735778,0.7115406530202377,0.7238466056677386,0.7328989921451587,0.6683032509389654,0.5980373309995177,0.6608495553323548,0.8994912199632805,1.0,0.8979571448819019,0.8693077376703793,0.4948153439448617,0.41204065540228657,-0.1927691143362855
patch_aggregation_80,0.8173784788837886,0.7539329727012132,0.7184766868437192,0.6583462447872375,0.18646196791951755,0.17145413079181068,0.8191109093347935,0.8248921389954686,0.8049837468029813,0.6786927046749357,0.5187991832894003,0.5796059696743457,0.7928920664981188,0.8979571448819019,1.0,0.9825127681415511,0.429744384902365,0.3582821467428007,-0.16347288416912448
