,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
above_threshold_mean_0.3,0.3533834586466165,1.0,0.2661654135338346,,,,0.3533834586466165,0.3533834586466165,0.3533834586466165,0.3533834586466165,0.021052631578947368,0.324812030075188,0.3533834586466165,0.3533834586466165,0.3533834586466165,0.3533834586466165,0.16090225563909774,0.16090225563909774,-0.13533834586466165
above_threshold_mean_0.5,-0.007518796992481203,0.2661654135338346,1.0,,,,-0.007518796992481203,-0.007518796992481203,-0.007518796992481203,-0.007518796992481203,-0.03458646616541353,0.03609022556390978,-0.0030075187969924814,-0.007518796992481203,-0.007518796992481203,-0.007518796992481203,-0.004511278195488722,-0.004511278195488722,-0.3233082706766917
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
above_quantile_mean_0.5,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
above_quantile_mean_0.7,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
above_quantile_mean_0.9,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
above_quantile_mean_fg_ratio,0.5263157894736842,0.021052631578947368,-0.03458646616541353,,,,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,0.544360902255639,0.5218045112781955,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7037593984962406,0.7037593984962406,0.5082706766917293
patch_aggregation_10,0.9864661654135338,0.324812030075188,0.03609022556390978,,,,0.9864661654135338,0.9864661654135338,0.9864661654135338,0.9864661654135338,0.544360902255639,1.0,0.9849624060150376,0.9864661654135338,0.9864661654135338,0.9864661654135338,0.5007518796992482,0.5007518796992482,0.45263157894736844
patch_aggregation_20,0.9969924812030075,0.3533834586466165,-0.0030075187969924814,,,,0.9969924812030075,0.9969924812030075,0.9969924812030075,0.9969924812030075,0.5218045112781955,0.9849624060150376,1.0,0.9969924812030075,0.9969924812030075,0.9969924812030075,0.4857142857142857,0.4857142857142857,0.46766917293233085
patch_aggregation_40,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
patch_aggregation_80,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
patch_aggregation_100,1.0,0.3533834586466165,-0.007518796992481203,,,,1.0,1.0,1.0,1.0,0.5263157894736842,0.9864661654135338,0.9969924812030075,1.0,1.0,1.0,0.47218045112781953,0.47218045112781953,0.45112781954887216
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.47218045112781953,0.16090225563909774,-0.004511278195488722,,,,0.47218045112781953,0.47218045112781953,0.47218045112781953,0.47218045112781953,0.7037593984962406,0.5007518796992482,0.4857142857142857,0.47218045112781953,0.47218045112781953,0.47218045112781953,1.0,1.0,0.324812030075188
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.47218045112781953,0.16090225563909774,-0.004511278195488722,,,,0.47218045112781953,0.47218045112781953,0.47218045112781953,0.47218045112781953,0.7037593984962406,0.5007518796992482,0.4857142857142857,0.47218045112781953,0.47218045112781953,0.47218045112781953,1.0,1.0,0.324812030075188
gmm_normalized_score,0.45112781954887216,-0.13533834586466165,-0.3233082706766917,,,,0.45112781954887216,0.45112781954887216,0.45112781954887216,0.45112781954887216,0.5082706766917293,0.45263157894736844,0.46766917293233085,0.45112781954887216,0.45112781954887216,0.45112781954887216,0.324812030075188,0.324812030075188,1.0
