uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
202,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.28825127417076146,0.4992958402172385,0.6485626861984062,0.8180375626755246,1.0442495621481889,1.0790783992528463,0.38867681777368973,0.46550261327440057,0.5653055839239793,0.7214768990480794,0.6119792934880594,1.17501953125,0.7802911376953126,0.5709194946289062,0.45634463787078855,0.42603884410858156,0.5773649562723375,0.4672199126925367,0.0490118929130265
205,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.3517395381713868,0.5073849529397606,0.6590979887705604,0.8173187037863805,1.0218582696189107,1.0568758580370439,0.45470103395476896,0.5265299770854226,0.6223039207291746,0.7704663602696247,0.6422655009287064,1.088037109375,0.9008715820312502,0.7334600830078125,0.552248764038086,0.5259144500732422,0.6160805360652983,0.5162137897022564,0.0362618389415423
221,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.4719073742162436,0.5443714146410892,0.6463051205650477,0.7938413246799885,0.9970424434372557,1.0419287293016088,0.5737756387020042,0.6323529070005797,0.7012992996408293,0.8042148378280747,0.6687396691758505,1.09416015625,0.8123107910156251,0.7620195007324219,0.7060704040527344,0.681710681152344,0.6626972709563335,0.5511754866517918,
252,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.35082107078051195,0.5108131219400179,0.670313737829731,0.8381220168348162,1.0315708496002156,1.0682655267295598,0.4621229964446182,0.5350126598827926,0.6344330273569104,0.7960591654253598,0.6667887779448582,1.2056298828125,0.8956927490234375,0.6002507781982419,0.5132845401763916,0.5121030670166016,0.7092719500517015,0.5614659905020435,0.0425108500359345
213,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.5009619686188671,0.5438596129101781,0.6320813475947886,0.8459513734481824,1.0395128076974625,1.0749040954316142,0.587315044327926,0.6344478861149463,0.7003771892600498,0.8355604004668405,0.710283198305246,1.2045410156250003,0.8714450073242187,0.6775918579101563,0.5907001662254333,0.5882674911499023,0.6918274321600743,0.5624853233628684,0.0719156442142207
232,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.34040441658726195,0.5066982140806797,0.6678616867902132,0.8319925518543548,1.0415525975376576,1.0748525484412514,0.4353799555269173,0.5058041555954949,0.6084936873593416,0.7774785637887335,0.6554301920417442,1.23638671875,0.8801437377929687,0.6019184875488282,0.560895595550537,0.5451157165527345,0.6357911039622066,0.5417443584295938,0.0218132465526452
210,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.34334314966690727,0.5094889546637366,0.6636473904866248,0.8315612742721329,1.0517219148537134,1.0876339482710204,0.4431625073277832,0.5159806696011683,0.6171947693033978,0.7723957256679117,0.6479661316845285,1.132353515625,0.8596853637695312,0.5825666809082028,0.5168425369262696,0.4802095031738281,0.6743744827734104,0.5242965068683435,0.1135531010210868
310,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.4079686579570989,0.5032967084482438,0.6862576664931512,0.8454890664498899,1.0219692949432777,1.057578308620731,0.49110475050526725,0.559321210499633,0.6610198874193272,0.8354945297049707,0.6966624355254675,1.11533203125,0.8238400268554688,0.6549710083007813,0.4927245283126831,0.46846615180969237,0.6228266460283653,0.557476612944886,0.0368841139147206
228,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.41079242407249694,0.5318216374864748,0.6534578877136906,0.8162794499095919,1.02465443440738,1.066451117507857,0.5274939900777318,0.5972535483459529,0.6790902492789713,0.8010999570086229,0.6804407424470681,1.1404296875,0.8125506591796875,0.712136535644531,0.6471702194213867,0.6184434204101562,0.670901380184083,0.570991509716603,0.0224176996899395
206,joint_noise_arctique_semantic_blood_cells_dropout_pu_0_00,0_00,0.40368863525873167,0.5400711030197087,0.6478012174937976,0.8286831989927976,1.0342592212287862,1.0716264072924389,0.5320137938462235,0.6006442805172171,0.678273274706475,0.8078832174903597,0.6966743314279916,1.2521875,0.9691516113281253,0.6816381835937498,0.6233568000793456,0.5808443786621094,0.6639531935030554,0.5848737725345708,0.0205061078054118
